Name,,Sample,Expression
ENSG00000143514.17,,GTEX.1F5PK.0526.SM.7MXUA,26.3179
ENSG00000143514.17,,GTEX.1F6I4.1026.SM.7P8PS,36.7249
ENSG00000143514.17,,GTEX.1F6RS.0826.SM.7P8T9,39.1696
ENSG00000143514.17,,GTEX.1F75B.1026.SM.9JGFS,47.1674
ENSG00000143514.17,,GTEX.1F75W.0626.SM.7PC13,31.4216
ENSG00000143514.17,,GTEX.1F7RK.0826.SM.7SB8V,28.0919
ENSG00000143514.17,,GTEX.1F88F.0926.SM.7RHH8,115.792
ENSG00000143514.17,,GTEX.1FIGZ.0326.SM.7RHGT,27.9192
ENSG00000143514.17,,GTEX.1GF9V.1026.SM.9KNW3,57.193
ENSG00000143514.17,,GTEX.1GF9X.0326.SM.7P8R9,34.9856
ENSG00000143514.17,,GTEX.1GL5R.0526.SM.9WPOQ,38.7385
ENSG00000143514.17,,GTEX.1GMR2.0126.SM.9JGHC,40.3868
ENSG00000143514.17,,GTEX.1GMR3.0226.SM.7RHIB,41.825
ENSG00000143514.17,,GTEX.1GMR8.1426.SM.7RHHL,44.0542
ENSG00000143514.17,,GTEX.1GMRU.1426.SM.9WPPL,44.4769
ENSG00000143514.17,,GTEX.1GN1U.1026.SM.9WYUP,24.5996
ENSG00000143514.17,,GTEX.1GN1W.1026.SM.9OSW2,30.4002
ENSG00000143514.17,,GTEX.1GN2E.1526.SM.7P8TD,33.5114
ENSG00000143514.17,,GTEX.1GN73.1026.SM.9KNV9,70.9838
ENSG00000143514.17,,GTEX.1GPI7.1526.SM.9JGG8,38.6103
ENSG00000143514.17,,GTEX.1GTWX.0626.SM.9WYU1,30.5921
ENSG00000143514.17,,GTEX.1GZ2Q.0726.SM.9KNVV,63.1408
ENSG00000143514.17,,GTEX.1GZ4H.0426.SM.7MXV5,35.0339
ENSG00000143514.17,,GTEX.1GZ4I.0726.SM.9QEHL,31.5261
ENSG00000143514.17,,GTEX.1GZHY.0826.SM.9OSXT,44.6817
ENSG00000143514.17,,GTEX.1H11D.0726.SM.9OSWA,22.6797
ENSG00000143514.17,,GTEX.1H1CY.0626.SM.9KNVE,81.5174
ENSG00000143514.17,,GTEX.1H1DG.1026.SM.9MQJS,36.2249
ENSG00000143514.17,,GTEX.1H1E6.0726.SM.9WPQ4,25.0816
ENSG00000143514.17,,GTEX.1H1ZS.0826.SM.A9SMD,20.0014
ENSG00000143514.17,,GTEX.1H23P.1026.SM.9QEHQ,33.1758
ENSG00000143514.17,,GTEX.1H2FU.1226.SM.9KNVY,41.5359
ENSG00000143514.17,,GTEX.1H3O1.0326.SM.9WPO8,26.908
ENSG00000143514.17,,GTEX.1H3VY.1426.SM.9WPOB,26.1144
ENSG00000143514.17,,GTEX.1HB9E.0726.SM.AHZ4L,46.3761
ENSG00000143514.17,,GTEX.1HBPH.1326.SM.9WYSN,33.496
ENSG00000143514.17,,GTEX.1HBPM.0826.SM.9WYSP,24.1264
